/SiMCosta RJ-4 buoy 
/L1 data
/missing = NULL
/latitude = -22.97155
/longitude = -43.1502167
/Sensor Mount = Buoy
/Acknowledging or Crediting SiMCosta as Information Source : (Product or data name) courtesy of the Brazilian Coastal Monitoring System - SiMCosta  (www.simcosta.furg.br)
/Disclaimer: All products published on this website are not intended to be used for navigational or operational purposes.
/*Magnetic Declination Reference: Chulliat, A., S. Macmillan, P. Alken, C. Beggan, M. Nair, B. Hamilton, A. Woods, V. Ridley, S. Maus and A. Thomson, 2014. The US/UK World Magnetic Model for 2015-2020, NOAA National Geophysical Data Center, Boulder, CO, doi: 10.7289/V5TH8JNW 
/YEAR MONTH DAY HOUR MINUTE SECOND: Date/Time Data Acquisition (UTC)
/Avg_Air_Press: Average Air Pressure (mb)
/Avg_Air_Tmp: Average Air Temperature (degree Celsius)
/Hmt: Instantaneous Humidity (%)
/Avg_Hmt: Average Humidity (%)
/Avg_DewP: Average Dew Point (degree Celsius)
/Avg_Wnd_Sp: Average Wind Speed (m/s)
/Avg_Wnd_Dir: Average Wind Direction (degree, magnetic north)
/Avg_Wnd_Dir_N: Average Wind Direction (degree, true north)
/M_Decl: Magnetic Declination (degree)
/Gust_Sp: Last Sampling Interval Gust Speed (m/s)
/Avg_Sol_Rad: Average Solar Radiation Reading (W/m²)
YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,Avg_Air_Press,Avg_Air_Tmp,Hmt,Avg_Hmt,Avg_DewP,Avg_Wnd_Sp,Avg_Wnd_Dir,Avg_Wnd_Dir_N,M_Decl,Gust_Sp,Avg_Sol_Rad
2017,8,28,13,25,00,1020.49,18.70,87.70,87.70,16.60,3.50,233.00,210.26,-22.74,4.50,699.62
2017,8,28,13,55,00,1020.48,18.70,89.20,88.80,16.80,3.90,246.00,223.26,-22.74,4.70,786.88
2017,8,28,14,55,00,1019.72,18.40,91.20,91.20,17.00,4.30,248.00,225.26,-22.74,4.90,846.16
2017,8,28,15,25,00,1019.60,18.40,90.70,90.80,16.90,5.00,247.00,224.26,-22.74,6.00,883.22
2017,8,28,15,55,00,1019.38,18.30,90.60,90.40,16.70,4.40,230.00,207.26,-22.74,5.60,866.43
2017,8,28,16,25,00,1019.02,18.20,91.40,91.00,16.70,4.20,229.00,206.26,-22.74,5.10,640.51
2017,8,28,16,55,00,1018.71,17.60,93.20,92.90,16.40,3.70,232.00,209.26,-22.74,4.50,671.57
2017,8,28,17,25,00,1018.20,17.20,95.10,94.90,16.30,3.20,237.00,214.26,-22.74,4.10,524.95
2017,8,28,17,55,00,1017.84,17.30,95.70,95.60,16.60,2.10,218.00,195.26,-22.74,3.00,606.18
2017,8,28,18,55,00,1017.43,17.60,95.60,95.60,16.90,1.90,218.00,195.26,-22.74,2.40,409.74
2017,8,28,19,55,00,1017.36,18.60,90.00,90.40,17.00,3.20,253.00,230.26,-22.74,3.80,229.90
2017,8,28,20,25,00,1017.59,18.80,90.10,90.10,17.20,3.60,245.00,222.26,-22.74,4.60,120.33
2017,8,28,21,25,00,1017.62,18.60,90.40,90.30,17.00,2.80,245.00,222.26,-22.74,3.30,41.28
2017,8,28,22,25,00,1017.80,18.50,92.80,92.80,17.30,3.10,260.00,237.26,-22.74,3.80,40.96
2017,8,28,22,55,00,1018.12,18.40,92.40,92.50,17.20,3.90,270.00,247.26,-22.74,4.70,40.02
2017,8,28,23,55,00,1018.77,18.50,91.40,91.30,17.10,4.70,268.00,245.26,-22.74,6.20,39.82
2017,8,29,0,25,00,1019.01,18.40,92.30,92.20,17.10,4.30,265.00,242.26,-22.74,5.40,39.68
2017,8,29,1,55,00,1019.26,18.40,91.90,91.90,17.00,2.60,259.00,236.26,-22.74,3.30,39.57
2017,8,29,2,25,00,1019.12,18.40,92.20,92.10,17.10,0.60,239.00,216.26,-22.74,1.00,39.42
2017,8,29,4,25,00,1018.64,18.10,94.00,93.90,17.10,1.10,266.00,243.26,-22.74,1.40,36.31
2017,8,29,4,55,00,1018.62,18.10,94.40,94.40,17.10,1.20,234.00,211.26,-22.74,1.50,35.32
2017,8,29,5,25,00,1018.43,18.00,94.70,94.60,17.10,1.10,241.00,218.26,-22.74,1.60,35.53
2017,8,29,5,55,00,1018.34,17.90,94.90,94.90,17.10,1.20,264.00,241.26,-22.74,1.60,35.76
2017,8,29,6,25,00,1018.19,17.90,94.90,94.90,17.10,1.30,276.00,253.26,-22.74,1.70,34.95
2017,8,29,6,55,00,1017.90,17.90,95.00,94.90,17.10,1.10,278.00,255.26,-22.74,1.40,35.10
2017,8,29,7,55,00,1018.27,17.90,95.10,95.10,17.10,1.60,239.00,216.26,-22.74,1.90,33.46
2017,8,29,8,25,00,1018.42,17.90,95.20,95.20,17.10,0.90,223.00,200.26,-22.74,1.30,33.93
2017,8,29,8,55,00,1018.76,17.90,95.00,95.10,17.10,1.20,227.00,204.26,-22.74,1.70,34.58
2017,8,29,9,25,00,1019.17,18.00,94.60,94.70,17.20,1.10,34.00,11.26,-22.74,1.60,36.89
2017,8,29,9,55,00,1019.25,18.10,94.30,94.20,17.10,1.50,79.00,56.26,-22.74,2.10,50.10
2017,8,29,10,25,00,1019.59,18.10,94.00,94.10,17.10,0.90,139.00,116.26,-22.74,1.50,74.70
2017,8,29,10,55,00,1019.85,18.20,93.40,93.50,17.10,2.20,107.00,84.26,-22.74,3.20,102.55
2017,8,29,11,25,00,1020.17,18.30,93.00,93.10,17.10,2.00,107.00,84.26,-22.74,2.50,172.29
2017,8,29,11,55,00,1020.36,18.50,91.90,92.20,17.20,1.40,111.00,88.26,-22.74,1.90,272.85
2017,8,29,12,25,00,1020.32,18.90,89.90,90.50,17.30,1.90,51.00,28.26,-22.74,2.70,384.37
2017,8,29,12,55,00,1020.27,19.40,87.30,87.50,17.30,2.10,14.00,351.26,-22.74,2.80,625.74
2017,8,29,13,55,00,1019.65,19.90,84.10,83.90,17.10,3.70,43.00,20.26,-22.74,4.40,760.50
2017,8,29,14,25,00,1019.20,20.20,82.10,82.40,17.10,2.80,39.00,16.26,-22.74,4.20,807.56
2017,8,29,14,55,00,1018.73,20.10,84.50,84.10,17.40,1.60,75.00,52.26,-22.74,2.00,830.72
2017,8,29,15,25,00,1018.33,19.50,87.70,87.90,17.50,3.20,157.00,134.26,-22.74,4.00,780.94
2017,8,29,16,55,00,1017.09,19.40,86.30,86.10,17.10,1.70,218.00,195.26,-22.74,2.30,530.27
2017,8,29,17,25,00,1016.98,19.50,87.00,87.20,17.30,1.90,220.00,197.26,-22.74,2.70,728.17
2017,8,29,18,55,00,1016.64,20.20,83.90,83.80,17.30,2.60,266.00,243.26,-22.74,3.30,394.11
2017,8,29,19,55,00,1016.77,20.50,82.90,83.20,17.50,3.00,237.00,214.26,-22.74,3.80,238.97
2017,8,29,20,55,00,1016.76,20.30,85.00,84.60,17.60,2.90,263.00,240.26,-22.74,3.70,51.46
2017,8,29,21,55,00,1016.76,19.60,88.80,89.20,17.80,2.50,271.00,248.26,-22.74,3.30,44.07
2017,8,29,22,55,00,1017.04,19.40,90.60,90.60,17.80,1.40,286.00,263.26,-22.74,1.80,39.19
2017,8,29,23,25,00,1017.06,19.40,90.80,90.60,17.80,1.10,284.00,261.26,-22.74,1.70,38.03
2017,8,29,23,55,00,1017.21,19.40,89.90,90.50,17.80,0.60,251.00,228.26,-22.74,1.20,37.72
2017,8,30,0,25,00,1017.42,19.40,90.70,90.50,17.80,0.80,302.00,279.26,-22.74,1.20,40.56
2017,8,30,0,55,00,1017.35,19.40,89.30,90.10,17.80,0.60,341.00,318.26,-22.74,2.40,40.85
2017,8,30,2,25,00,1017.41,20.90,82.40,83.50,18.00,2.90,45.00,22.26,-22.74,4.10,40.19
2017,8,30,3,25,00,1017.01,20.70,82.90,82.80,17.70,3.10,30.00,7.26,-22.74,3.90,40.68
2017,8,30,3,55,00,1016.50,20.60,82.50,82.70,17.60,3.60,26.00,3.26,-22.74,4.40,41.51
2017,8,30,4,25,00,1016.20,20.60,81.90,82.40,17.50,4.60,27.00,4.26,-22.74,5.40,40.12
2017,8,30,4,55,00,1015.79,20.40,81.60,81.00,17.10,5.20,35.00,12.26,-22.74,6.80,40.67
2017,8,30,5,25,00,1015.75,20.20,80.60,80.60,16.80,4.60,34.00,11.26,-22.74,5.70,38.01
2017,8,30,5,55,00,1015.33,20.10,83.30,82.90,17.10,4.60,41.00,18.26,-22.74,5.30,37.84
2017,8,30,6,25,00,1015.20,19.70,85.20,85.40,17.20,3.80,35.00,12.26,-22.74,4.70,38.31
2017,8,30,6,55,00,1015.31,19.80,85.10,84.70,17.10,2.70,39.00,16.26,-22.74,3.70,41.28
2017,8,30,7,25,00,1015.40,19.60,84.90,84.70,16.90,2.80,12.00,349.26,-22.74,3.70,41.34
2017,8,30,8,25,00,1015.61,19.70,80.10,80.60,16.20,2.20,24.00,1.26,-22.74,3.30,41.32
2017,8,30,8,55,00,1015.96,19.80,82.10,81.70,16.60,1.50,18.00,355.26,-22.74,3.00,40.21
2017,8,30,9,25,00,1016.06,20.20,78.50,78.00,16.20,4.10,24.00,1.26,-22.74,5.80,44.86
2017,8,30,9,55,00,1016.14,20.10,78.80,79.70,16.50,4.20,17.00,354.26,-22.74,6.30,103.11
2017,8,30,10,25,00,1016.17,20.40,77.60,76.80,16.20,4.40,24.00,1.26,-22.74,5.70,205.48
2017,8,30,10,55,00,1016.44,20.10,80.10,82.40,17.00,5.40,24.00,1.26,-22.74,6.60,268.72
2017,8,30,11,25,00,1016.57,19.60,87.60,86.20,17.20,5.00,45.00,22.26,-22.74,6.10,377.91
2017,8,30,12,25,00,1016.50,19.70,87.80,87.90,17.60,6.30,49.00,26.26,-22.74,7.50,568.53
2017,8,30,12,55,00,1016.26,20.10,82.80,84.50,17.40,6.10,56.00,33.26,-22.74,7.70,650.14
2017,8,30,13,25,00,1015.94,20.80,81.20,81.70,17.60,6.40,63.00,40.26,-22.74,8.40,717.33
2017,8,30,13,55,00,1015.52,21.50,78.20,77.70,17.40,7.10,57.00,34.26,-22.74,9.40,773.45
2017,8,30,14,55,00,1014.59,23.40,67.20,66.90,16.90,6.10,56.00,33.26,-22.74,8.20,832.69
2017,8,30,15,25,00,1014.23,23.60,68.80,68.50,17.40,3.90,80.00,57.26,-22.74,5.40,774.20
2017,8,30,16,25,00,1013.31,22.70,72.60,74.40,18.00,2.40,149.00,126.26,-22.74,3.40,793.23
2017,8,30,16,55,00,1013.01,21.90,75.20,76.60,17.60,3.00,155.00,132.26,-22.74,4.60,532.97
2017,8,30,17,25,00,1012.91,22.20,72.50,74.80,17.50,1.70,272.00,249.26,-22.74,3.10,683.27
2017,8,30,17,55,00,1013.19,21.90,79.50,78.90,18.00,2.60,261.00,238.26,-22.74,4.10,598.83
2017,8,30,18,55,00,1013.06,22.60,73.50,74.70,17.80,1.60,250.00,227.26,-22.74,3.00,465.91
2017,8,30,19,25,00,1012.99,22.50,76.00,75.50,17.90,1.40,223.00,200.26,-22.74,2.40,357.20
2017,8,30,19,55,00,1013.07,22.30,76.80,76.40,17.90,2.00,224.00,201.26,-22.74,3.00,245.44
2017,8,30,20,25,00,1013.17,21.80,79.00,79.40,18.10,2.70,268.00,245.26,-22.74,3.50,123.29
