/SiMCosta RJ-3 buoy 
/L1 data
/missing = NULL
/latitude = -22.983083
/longitude = -43.174472
/Sensor Mount = Buoy
/Acknowledging or Crediting SiMCosta as Information Source : (Product or data name) courtesy of the Brazilian Coastal Monitoring System - SiMCosta  (www.simcosta.furg.br)
/Disclaimer: All products published on this website are not intended to be used for navigational or operational purposes.
/*Magnetic Declination Reference: Chulliat, A., S. Macmillan, P. Alken, C. Beggan, M. Nair, B. Hamilton, A. Woods, V. Ridley, S. Maus and A. Thomson, 2014. The US/UK World Magnetic Model for 2015-2020, NOAA National Geophysical Data Center, Boulder, CO, doi: 10.7289/V5TH8JNW 
/YEAR MONTH DAY HOUR MINUTE SECOND: Date/Time Data Acquisition (UTC)
/Avg_Air_Press: Average Air Pressure (mb)
/Avg_Air_Tmp: Average Air Temperature (degree Celsius)
/Hmt: Instantaneous Humidity (%)
/Avg_Hmt: Average Humidity (%)
/Avg_DewP: Average Dew Point (degree Celsius)
/Avg_Wnd_Sp: Average Wind Speed (m/s)
/Avg_Wnd_Dir: Average Wind Direction (degree, magnetic north)
/Avg_Wnd_Dir_N: Average Wind Direction (degree, true north)
/M_Decl: Magnetic Declination (degree)
/Gust_Sp: Last Sampling Interval Gust Speed (m/s)
/Avg_Sol_Rad: Average Solar Radiation Reading (W/m²)
YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,Avg_Air_Press,Avg_Air_Tmp,Hmt,Avg_Hmt,Avg_DewP,Avg_Wnd_Sp,Avg_Wnd_Dir,Avg_Wnd_Dir_N,M_Decl,Gust_Sp,Avg_Sol_Rad
2016,7,15,0,25,00,1013.28,23.60,82.70,82.40,20.40,1.00,356.00,333.37,-22.63,1.50,42.76
2016,7,15,1,25,00,1013.29,23.00,83.40,83.70,20.10,0.90,323.00,300.37,-22.63,1.60,41.25
2016,7,15,2,25,00,1012.96,22.70,86.50,86.30,20.30,0.30,311.00,288.37,-22.63,0.70,40.80
2016,7,15,3,25,00,1012.52,22.20,89.30,89.10,20.40,0.70,315.00,292.37,-22.63,1.70,39.46
2016,7,15,4,25,00,1012.44,21.80,89.90,89.80,20.10,0.30,308.00,285.37,-22.63,0.60,38.21
2016,7,15,5,25,00,1012.04,21.50,91.20,91.20,20.00,0.80,327.00,304.37,-22.63,1.40,32.83
2016,7,15,6,25,00,1012.05,21.60,91.40,91.20,20.10,0.80,320.00,297.37,-22.63,2.10,34.34
2016,7,15,7,25,00,1011.93,21.30,90.90,91.10,19.80,0.80,331.00,308.37,-22.63,1.90,36.48
2016,7,15,8,25,00,1012.25,21.00,90.70,90.60,19.40,0.90,321.00,298.37,-22.63,2.00,37.99
2016,7,15,9,25,00,1012.78,20.80,87.80,89.00,18.90,0.50,302.00,279.37,-22.63,1.60,38.45
2016,7,15,10,25,00,1013.12,21.20,85.20,86.00,18.70,0.60,333.00,310.37,-22.63,1.30,146.89
2016,7,15,11,25,00,1013.46,22.10,80.10,80.60,18.60,0.80,331.00,308.37,-22.63,1.70,394.05
2016,7,15,12,25,00,1013.71,22.60,84.40,83.60,19.70,1.70,103.00,80.37,-22.63,2.90,830.77
2016,7,15,13,25,00,1013.17,24.90,60.10,65.00,17.80,3.30,246.00,223.37,-22.63,8.20,490.74
2016,7,15,14,25,00,1012.30,29.20,32.80,37.80,13.40,5.40,358.00,335.37,-22.63,8.50,595.16
2016,7,15,15,25,00,1011.33,29.40,38.00,39.70,14.20,4.70,44.00,21.37,-22.63,6.40,239.79
2016,7,15,16,25,00,1010.32,31.00,40.40,34.80,13.60,2.90,30.00,7.37,-22.63,4.30,353.07
2016,7,15,17,25,00,1009.65,31.00,36.10,34.60,13.50,4.00,28.00,5.37,-22.63,5.20,603.74
2016,7,15,18,25,00,1009.47,30.30,37.80,39.80,14.90,1.70,354.00,331.37,-22.63,3.60,471.30
2016,7,15,19,25,00,1009.67,28.60,44.30,45.60,15.70,1.60,253.00,230.37,-22.63,2.10,314.61
2016,7,15,20,25,00,1010.31,25.10,67.40,67.20,18.60,0.50,190.00,167.37,-22.63,1.00,73.01
2016,7,15,21,25,00,1010.48,25.60,55.90,59.20,17.00,1.10,71.00,48.37,-22.63,2.00,46.34
2016,7,15,22,25,00,1010.64,25.40,61.60,61.20,17.40,1.20,109.00,86.37,-22.63,1.80,45.54
2016,7,15,23,25,00,1010.86,24.50,73.90,71.90,19.10,1.10,88.00,65.37,-22.63,1.70,44.08
2016,7,16,0,25,00,1010.85,27.30,52.30,50.10,16.00,4.60,14.00,351.37,-22.63,5.80,43.53
2016,7,16,1,25,00,1010.67,27.10,51.10,50.50,15.90,3.70,41.00,18.37,-22.63,4.50,44.05
2016,7,16,2,25,00,1010.28,26.30,49.00,51.20,15.40,4.10,29.00,6.37,-22.63,6.50,44.79
2016,7,16,3,25,00,1009.36,26.20,50.30,51.00,15.20,7.30,17.00,354.37,-22.63,8.30,44.26
2016,7,16,4,25,00,1009.10,25.50,53.30,53.60,15.40,5.70,36.00,13.37,-22.63,6.40,44.08
2016,7,16,5,25,00,1008.38,25.50,54.10,53.70,15.40,5.00,26.00,3.37,-22.63,6.00,44.17
2016,7,16,6,25,00,1007.87,25.90,48.60,52.20,15.30,5.80,33.00,10.37,-22.63,6.90,44.45
2016,7,16,7,25,00,1007.24,28.70,37.70,39.10,13.40,7.10,7.00,344.37,-22.63,9.30,43.38
2016,7,16,8,25,00,1007.36,26.60,49.40,48.80,14.90,6.20,19.00,356.37,-22.63,7.40,43.55
2016,7,16,9,25,00,1007.53,25.30,55.10,55.90,15.90,7.80,20.00,357.37,-22.63,9.60,43.84
2016,7,16,10,25,00,1008.21,26.80,46.30,47.30,14.60,5.60,9.00,346.37,-22.63,7.00,80.85
2016,7,16,11,25,00,1008.60,29.30,32.40,36.10,12.70,6.30,5.00,342.37,-22.63,8.10,228.96
2016,7,16,12,25,00,1009.12,29.90,31.80,34.00,12.30,6.30,2.00,339.37,-22.63,8.40,311.80
2016,7,16,13,25,00,1009.04,30.50,28.00,31.20,11.50,7.80,359.00,336.37,-22.63,10.40,587.96
